op_class,op_name,shape,n_reps,vulkano_us_median,vulkano_us_p95,binary_us_median,binary_us_p95,speedup
sampler-host,put_slice 1-row,"{64, 8}",30,137.000,291.000,17.000,19.000,0.124
sampler-host,put_slice 1-row,"{200, 8}",30,312.000,546.000,21.000,190.000,0.067
sampler-host,put_slice 1-row,"{200, 16}",30,772.000,1422.000,54.000,81.000,0.070
sampler-host,put_slice 1-row,"{1024, 32}",30,12070.000,16467.000,772.000,861.000,0.064
sampler-host,indexed_put,"{16, 1}",30,70.000,102.000,14.000,44.000,0.200
sampler-host,indexed_add,"{16, 1}",30,70.000,110.000,15.000,40.000,0.214
sampler-host,indexed_put,"{32, 4}",30,84.000,501.000,15.000,45.000,0.179
sampler-host,indexed_add,"{32, 4}",30,99.000,172.000,13.000,43.000,0.131
sampler-host,indexed_put,"{64, 8}",30,155.000,281.000,11.000,37.000,0.071
sampler-host,indexed_add,"{64, 8}",30,154.000,270.000,10.000,29.000,0.065
sampler-host,indexed_put,"{200, 8}",30,264.000,706.000,13.000,31.000,0.049
sampler-host,indexed_add,"{200, 8}",30,308.000,805.000,15.000,51.000,0.049
sampler-host,indexed_put,"{200, 16}",30,800.000,1421.000,16.000,67.000,0.020
sampler-host,indexed_add,"{200, 16}",30,843.000,2087.000,18.000,109.000,0.021
sampler-host,indexed_put,"{1024, 32}",30,11608.000,14802.000,243.000,266.000,0.021
sampler-host,indexed_add,"{1024, 32}",30,10909.000,13164.000,39.000,64.000,0.004
sampler-host,broadcast scalar->{n},"{256}",30,23.000,46.000,10.000,11.000,0.435
sampler-host,broadcast scalar->{n},"{1024}",30,49.000,80.000,37.000,57.000,0.755
sampler-host,broadcast scalar->{n},"{4096}",30,158.000,190.000,137.000,149.000,0.867
sampler-host,broadcast scalar->{n},"{16384}",30,605.000,647.000,542.000,562.000,0.896
sampler-host,broadcast scalar->{n},"{65536}",30,1812.000,2251.000,1220.000,1365.000,0.673
sampler-host,broadcast scalar->{n},"{262144}",30,4759.000,4825.000,4662.000,4916.000,0.980
sampler-host,broadcast scalar->{n},"{1048576}",30,17386.000,17472.000,17293.000,21615.000,0.995
sampler-host,concatenate 2,"{256}",30,117.000,249.000,2.000,4.000,0.017
sampler-host,concatenate 2,"{1024}",30,284.000,789.000,2.000,16.000,0.007
sampler-host,concatenate 2,"{4096}",30,1367.000,2612.000,7.000,61.000,0.005
sampler-host,concatenate 2,"{16384}",30,11016.000,11676.000,195.000,225.000,0.018
sampler-host,concatenate 2,"{65536}",30,45559.000,52559.000,123.000,159.000,0.003
sampler-host,concatenate 2,"{262144}",30,184996.000,222238.000,317.000,347.000,0.002
sampler-host,concatenate 2,"{1048576}",30,739354.000,774757.000,1219.000,1254.000,0.002
sampler-host,gather every-4th,"{256}",30,155.000,215.000,49.000,67.000,0.316
sampler-host,gather every-4th,"{1024}",30,570.000,856.000,201.000,221.000,0.353
sampler-host,gather every-4th,"{4096}",30,2738.000,3096.000,891.000,951.000,0.325
sampler-host,gather every-4th,"{16384}",30,9930.000,11912.000,2604.000,3214.000,0.262
sampler-host,gather every-4th,"{65536}",30,43368.000,61963.000,11805.000,17064.000,0.272
sampler-host,take rows-stride-2,"{8, 8}",30,52.000,101.000,5.000,23.000,0.096
sampler-host,take rows-stride-2,"{64, 64}",30,998.000,1732.000,26.000,76.000,0.026
sampler-host,take rows-stride-2,"{256, 256}",30,22078.000,23383.000,222.000,259.000,0.010
sampler-host,take rows-stride-2,"{1024, 1024}",30,334288.000,339120.000,2805.000,3482.000,0.008
