op_class,op_name,shape,n_reps,vulkano_us_median,vulkano_us_p95,binary_us_median,binary_us_p95,speedup
sampler-host,broadcast scalar->{n},"{65536}",30,223.000,235.000,216.000,223.000,0.969
sampler-host,broadcast scalar->{n},"{262144}",30,871.000,982.000,860.000,1219.000,0.987
sampler-host,broadcast scalar->{n},"{1048576}",30,3453.000,3557.000,3443.000,3552.000,0.997
sampler-host,concatenate 2,"{256}",30,17.000,40.000,1.000,4.000,0.059
sampler-host,concatenate 2,"{1024}",30,30.000,43.000,2.000,14.000,0.067
sampler-host,concatenate 2,"{4096}",30,91.000,140.000,3.000,54.000,0.033
sampler-host,concatenate 2,"{16384}",30,386.000,447.000,43.000,47.000,0.111
sampler-host,concatenate 2,"{65536}",30,3405.000,3562.000,131.000,157.000,0.038
sampler-host,concatenate 2,"{262144}",30,5409.000,6284.000,130.000,166.000,0.024
sampler-host,concatenate 2,"{1048576}",30,25431.000,34802.000,627.000,660.000,0.025
sampler-host,gather every-4th,"{256}",30,40.000,378.000,19.000,20.000,0.475
sampler-host,gather every-4th,"{1024}",30,101.000,109.000,68.000,72.000,0.673
sampler-host,gather every-4th,"{4096}",30,429.000,492.000,347.000,981.000,0.809
sampler-host,gather every-4th,"{16384}",30,1723.000,1766.000,1381.000,1385.000,0.802
sampler-host,gather every-4th,"{65536}",30,9223.000,9621.000,8126.000,8176.000,0.881
sampler-host,take rows-stride-2,"{8, 8}",30,22.000,36.000,4.000,17.000,0.182
sampler-host,take rows-stride-2,"{64, 64}",30,65.000,97.000,12.000,31.000,0.185
sampler-host,take rows-stride-2,"{256, 256}",30,788.000,962.000,50.000,164.000,0.063
sampler-host,take rows-stride-2,"{1024, 1024}",30,16822.000,18197.000,2393.000,3056.000,0.142
